FID,Program,State_Code,State_Name,Flowing_St,FID_1,Difference in e(0)
1,PERMIT TRACKING,AL,ALABAMA,F,919,5.14
2, ,AK,ALASKA,N,920, 
3,AZURITE,AZ,ARIZONA,F,921,4.46
4,PDS,AR,ARKANSAS,F,922,5.69
5, ,CA,CALIFORNIA,N,923,5.48
6,ECOMAP,CO,COLORADO,F,924,4.6
7,SIMS,CT,CONNECTICUT,F,925,4.55
8, ,DE,DELAWARE,P,926,5.11
9, ,DC,DISTRICT OF COLUMBIA,P,927,11.93
10, ,FL,FLORIDA,P,928,6.57
11, ,GA,GEORGIA,N,929,4.32
12,HI-EHW,HI,HAWAII,F,930, 
13, ,ID,IDAHO,P,931, 
14,ACES,IL,ILLINOIS,F,932,7.43
15,IN-FRS,IN,INDIANA,F,933,4.99
16,IDNR_EFD,IA,IOWA,F,934,5.86
17,KS-FP,KS,KANSAS,F,935,6.48
18,KY-TEMPO,KY,KENTUCKY,F,936,3.88
19, ,LA,LOUISIANA,P,937,5.61
20,ME-EFIS,ME,MAINE,F,938, 
21, ,MD,MARYLAND,P,939,5.93
22,MA-EPICS,MA,MASSACHUSETTS,F,940,2.65
23, ,MI,MICHIGAN,P,941,6.3
24,MN-DELTA,MN,MINNESOTA,F,942,5.69
25,MS-ENSITE,MS,MISSISSIPPI,F,943,5.22
26,MO-DNR,MO,MISSOURI,F,944,6.14
27,MT-CEDARS,MT,MONTANA,F,945, 
28,NDEQ,NE,NEBRASKA,F,946,6.75
29,NV-FP,NV,NEVADA,F,947,3.46
30,NH-DES,NH,NEW HAMPSHIRE,F,948, 
31,NJ-NJEMS,NJ,NEW JERSEY,F,949,6.29
32, ,NM,NEW MEXICO,P,950,4.92
33,FIS,NY,NEW YORK,F,951,4.42
34, ,NC,NORTH CAROLINA,N,952,5.82
35, ,ND,NORTH DAKOTA,N,953, 
36, ,OH,OHIO,P,954,5.45
37,OK-FMS,OK,OKLAHOMA,F,955,4.08
38, ,OR,OREGON,N,956,3.93
39,PA-EFACTS,PA,PENNSYLVANIA,F,957,6.55
40, ,RI,RHODE ISLAND,N,958,4.01
41, ,SC,SOUTH CAROLINA,N,959,5.25
42, ,SD,SOUTH DAKOTA,P,960, 
43, ,TN,TENNESSEE,P,961,5.54
44,TX-TCEQ ACR,TX,TEXAS,F,962,5.45
45, ,UT,UTAH,N,963, 
46, ,VT,VERMONT,P,964, 
47, ,VA,VIRGINIA,P,965,5.38
48,WA-FSIS,WA,WASHINGTON,F,966,4.22
49, ,WV,WEST VIRGINIA,N,967,4.17
50,WI-ESR,WI,WISCONSIN,F,968,7.42
51, ,WY,WYOMING,N,969, 
